152,1162,2115,1014,162,성북22,성북20,143,104,171,109,151,1113,1164,1114,110B,7211,1213,153,110A,121,1115,1128,101,144
동묘앞(01044),삼선동주민센터(08176),쌍용아파트신내테크노타운앞(07261),숭인1동주민센터(01239),북창동.남대문시장(02127),중앙하이츠빌아파트(08845),성신여대앞(08882),남산3호터널(02147),혜화동로터리(01005),웨딩타운(13042),돈암사거리.성신여대입구(08007),미아역.신일중고(09007),월곡1동주민센터(08284),길음뉴타운10단지.라온유아파트(08400),정릉대림아파트(08338),서울여자간호대학(13169),새장골유래비(12201),제기동한신아파트앞(06172),정릉2동주민센터(08118),마장축산물시장(04120),홍파초등학교(06171),삼각산고.래미안트리베라(09302),강북중학교(09198),성가복지병원(08148),종암경찰서(08150)
동대문(흥인지문)(01037),성신여대입구(08270),이화연립경동제일교회앞(07259),보문역(08326),숭례문(02008),,흥천사입구(08890),용산한신아파트(03150),명륜3가.성대입구(01003),이대역(13025),삼선교.한성대학교(08009),도봉세무서.성북시장(09009),숭곡초등학교입구(09190),숭덕초교(08120),정릉동풍림상가앞(08261),문화촌현대아파트(13167),연서시장(12202),고려대역.고대앞삼거리(06173),봉국사(08116),도선사거리(04122),제기동주민센터.서울약령시앞(06168),삼각산동삼각산아이원아파트후문(09275),광산사거리(09200),종암경찰서(08150),종암동주민센터(08152)
종로6가(01208),돈암2동주민센터입구.흥천사(08268),중흥초등학교(07257),성북구청.성북경찰서(08178),서울역버스환승센터(02004),,돈암힐스테이트(08898),해방촌(03151),창경궁.서울대학교병원(01002),신촌아트레온(13143),혜화역.서울연극센터(장면총리가옥)(01228),미아사거리역(09011),현대백화점(08329),정릉동태영아파트(08256),풍림아파트삼거리(08348),유진상가(13165),연신내역(12119),숭례초등학교(08155),고려대사범대학부속고등학교(08114),성동구청(04112),경동시장(06169),삼각산동삼각산아이원아파트정문(09298),강북구청(09146),종암동주민센터(08152),숭례초교(08154)
방산종합시장(02272),현대홈타운(08365),지하철7호선중화역2번출구(07255),돈암시장입구(08306),갈월동(03012),,아리랑고개.아리랑시네미디어센터(08905),용산구청.크라운호텔(03154),원남동(01198),연세로.문학의거리(13324),혜화역.서울대병원입구(01221),월곡뉴타운(08001),길음역(08248),미화약국.길음뉴타운8단지(08380),정릉초교(08350),홍은현대아파트(13163),동명여고(12120),종암동주민센터(08153),청덕초교(08112),무학여고(04132),엘림교회.대명신협앞(06418),강북구보건소삼각산분소(09273),수유역.강북구청(09272),숭례초교(08154),고대앞(08156)
을지로5가(02165),돈암동일신건영휴먼빌아파트(08366),지하철7호선중화역3번출구(07253),성신여대입구(08270),갈월동4호선숙대입구(03327),,우성APT정문(08913),한강중학교앞(03156),광장시장(01247),연세로.명물거리(13145),통신대(이화장)(01222),길음뉴타운(08003),길음시장(08246),열매교회(08254),성북생태체험관(08349),정원여중(13161),불광역3.6호선(12121),종암경찰서(08151),국민대학교앞(08110),응봉동주민센터(04139),청량리역환승센터(06019),삼각산119안전센터(09308),신일병원(09144),고대앞(08156),우신향병원(08157)
을지로4가(02162),일신건영아파트.꿈에그린아파트(08363),중화2동주민센터(07251),돈암2동주민센터입구.흥천사(08268),남영역(03110),,쌍용APT(08921),반포대교남단 한강시민공원입구(22381),중구청앞.덕수중학교(02164),연세대앞(13013),이화동(이화장)(01223),미아리고개.미아리예술극장(08005),정릉길음시장.길음뉴타운9단지(08122),길원초등학교입구(08252),,동신병원(13158),양광교회앞(12248),돈암1동주민센터(08126),롯데아파트(01159),응봉동현대아파트(04142),서울성심병원(06114),삼양동벽산라이브파크미양초등학교(09224),강북노인종합복지관(09142),우신향병원(08157),안암오거리(08158)
을지로3가(02160),교수단지(08360),중화2동체육공원(07427),아리랑고개.아리랑시네미디어센터(08266),용산경찰서(03139),,브라운스톤(08928),고속터미널(22020),충무로역8번출구.대한극장앞(02154),서대문우체국(13011),창덕궁.서울돈화문국악당(01172),돈암사거리.성신여대입구(08007),숭덕초교(08120),서경로꿈마루도서관앞(08382),,서대문구청(13157),불광역.불광1동주민센터(12249),길음역(08124),일성아파트(01158),삼성래미안아파트앞(04160),떡전교앞(06187),미양중고등학교.팔팔·미송경로당(09217),화계사입구(09156),안암오거리(08158),대광초교(08159)
을지로2가.기업은행본점.서울노동청(02158),산장빌라(08357),중화빗물펌프장(07317),정릉입구(08264),원효로우체국(03141),,고명중고교(08936),한양아파트(22208),퇴계로3가.한옥마을.한국의집(02151),연희104고지앞.구성산회관(13009),안국역.종로경찰서.인사동(01295),삼선교.한성대학교(08009),정릉우체국앞(08170),대일외고서경대정문(08371),,서대문자연사박물관입구(13155),독박골.북한산래미안APT앞(12250),길음뉴타운10단지.라온유아파트(08400),평창동주민센터(01157),금남시장앞.백범학원터(04154),서울시립대학교앞(06189),구세군강북종합사회복지관입구(09216),빨래골입구(09158),대광초교(08159),신설동로타리(01243)
롯데백화점(02140),508단지입구(08356),중화2동새마을금고(07318),정릉우체국앞(08170),원효로2가(03144),,풍림아파트(08945),잠원성당(22206),퇴계로2가.명동역(02150),성산2교(14199),조계사(01202),혜화동로터리(01005),정릉시장입구(08168),서경대본관(08373),,한성화교중고교(13153),구기터널입구(12251),숭덕초교(08120),평창파출소(01156),금옥초등학교앞(04158),전농로터리시장.동부교육지원청(06191),우광타운(09214),롯데마트삼양점.래미안1차아파트(09160),신설동로타리(01243),동묘앞(01044)
북창동.남대문시장(02127),508단지장터앞(08355),중랑교동부시장(07320),정릉시장입구(08168),원효로3가(03146),,풍림아파트.성신초교(08952),잠원한신아파트(22174),남대문시장.회현역(02145),중동초등학교(14156),종로1가(01191),명륜3가.성대입구(01003),KEB.하나은행.정릉중앙지점(08166),,,연희3거리(13151),구기터널앞.한국고전번역원(01151),정릉2동주민센터(08118),갑을씨티텔앞(01155),옥수동삼성아파트(04162),전농래미안크레시티아파트(06206),혜화여고(09212),삼양초등학교(09162),동묘앞(01044),동대문(흥인지문)(01037)
숭례문(02008),스카이힐스(08369),중랑교(06009),KEB.하나은행.정릉중앙지점(08166),시범아파트.대교아파트(19146),,개운중학교(08959),신동중학교(22182),숭례문.한국일보(02118),성산2동주민센터(14159),KT광화문지사(01118) - 회차,창경궁.서울대학교병원(01002),북한산보국문역1번출구(08409),,,연희교차로(13149),구기동(01152),봉국사(08116),세검정초등학교(01133),옥정중학교입구(04170),동대문중학교(06204),,강북청소년문화정보도서관입구(09164),동대문(흥인지문)(01037),종로중부새마을금고(01288)
서울역버스환승센터(02004),508단지장터앞(08370),삼육서울병원(06011),북한산보국문역1번출구(08409),KBS별관(19150),,성북구의회(08965),신반포13차아파트(22179),서울역버스환승센터(02005) - 회차,성산119안전센터(14160),경복궁(01117),창덕궁.서울돈화문국악당(01172),정릉4동주민센터.경국사(08164),,,연남동(14226),국민은행세검정지점(01132),고려대사범대학부속고등학교(08114),세검정.상명대(01134),한남시범아파트(03210),동대문어린이집(06202),,삼양동사거리(09171),종로6가(01208),동대문역사문화공원(02173)
갈월동(03012),508단지입구(08368),시조사삼거리(06013),정릉대림아파트(08338),샛강역1번출구.여의도자이(19153),,고려대아이스링크(08970),롯데캐슬아파트(22177),남대문시장.회현역(02146),성산아파트(14162),안국역.종로경찰서.인사동(01200),안국역.종로경찰서.인사동(01295),정릉대우아파트(08162),,,동교동삼거리(13018),화정박물관(01164),청덕초교(08112),홍지문(13173),한남동(03212),신답역명문예식장(04268),,성암국제무역고등학교(09173),종로5가(01206),광희동(02170)
숙대입구역(03010),성북참노인전문병원(08359),떡전교사거리.동대문노인복지관(06014),정릉동풍림상가앞(08261),여의도역(19156),,고려대안암학사(08973),신사중학교(23101),명동입구(02149),월드컵경기장북측(14274),창덕궁.서울돈화문국악당(01199),조계사(01202),대진여객차고지(08344),,,신촌역(14228),서울예술고등학교.평창동주민센터(01163),국민대앞(08108) - 회차,유원하나아파트(13171),순천향대학병원(03162),마장동주민센터(04116),,삼양동사거리입구(09175),종로4가(01196),장충동.동국대입구(02204)
삼각지역(03008),,청량리미주아파트.동대문세무서(06021),풍림아파트삼거리(08348),국회의사당역.국민은행(19132),,고려대법과대학입구(08976),광림교회.현대고등학교(23103),퇴계로3가.한옥마을.한국의집(02152),상암휴먼시아아파트(14164),원남동사거리(01256),을지로입구역.광교(02246),,,,신촌로터리(14168),예능교회(01162),국민대앞(08107),서울여자간호대학(13169),한강진역.블루스퀘어(03196),마장역(04271),,미아사거리역(09260),종로3가(01194),장충체육관앞(02202)
KT용산지사(03006),,청량리역환승센타(06015),정릉초교(08350),국회의사당역(19133),,종암로한진택배(08977),현대아파트(23149),충무로역2번출구.대한극장앞(02153),상암초등학교(14167),현대그룹빌딩(01218),롯데백화점(02140),,,,서강대학교(14171),벽산평창힐스아파트(01161),청덕초등학교(08111),문화촌현대아파트(13167),한남동새마을금고(03194),성동노인복지관(04118),,미아사거리(08249),종로2가(01193),약수역10번출구(02223)
신용산역(03004),,청량리.청과물도매시장(06022),성북생태체험관(08349),KBS(19130),,,압구정파출소(23157),퇴계로5가.제일병원(02207),상암DMC홍보관.YTN(14286),통신대(이화장)(01219),북창동.남대문시장(02127),,,,광성중고등학교(14172),롯데아파트(01160),북악중학교(08113),유진상가(13165),이태원119안전센터(03192),마장동금호아파트(04124),,성가복지병원(08148) - 회차,종로1가(01190),약수역8번출구.신당사회복지관(02195)
한강대교북단.LG유플러스(03002),,제기역약령시장(06105),,전경련회관(19161),,,한양아파트.압구정로데오역(23159),을지로5가.훈련원종합체육관(02168),누리꿈스퀘어.MBC(14307),혜화역.마로니에공원(01220),숭례문(02008),,,,대흥역(14174),평창동삼성아파트(01293),봉국사(08115),홍은현대아파트(13163),이태원역1번출구.해밀턴호텔(03190),한양대부속고등학교(04126),,돈암1동주민센터(08126),광화문(01125),송도병원앞(02198)
노들섬(03340),,용두시장앞(06180),,여의도환승센터(19007) - 회차,,,청담초등학교앞(23182),방산시장.훈련원종합체육관(02167),월드컵파크5단지.상암중고등학교입구(14288),혜화역.동성중고(장면총리가옥)(01229),서울역버스환승센터(02004),,,,용강초등학교(14176),국민대앞(08107),정릉2동주민센터(08117),정원여중(13161),용산구청.이태원시장(03188),한양대정문(04129),,월곡뉴타운(08002),서울역사박물관.경교장.강북삼성병원(01123),버티고개(02236)
노들역(20121),,안암오거리(08303),,유진투자증권.파이낸셜뉴스신문(19283),,,프리마호텔(23167),종로5가(01212),월드컵파크7단지(14272) - 회차,삼선교.한성대학교(08010),갈월동(03012),,,,동도중학교.서울디자인고등학교(14178),청덕초등학교(08111),숭덕초교(08119),동신병원(13158),녹사평역(03186),성동교남단(04186),,미아사거리역(09012),강북삼성병원(01165),서울시중부기술교육원.블루스퀘어(03161)
사육신공원(20119),,개운사입구(08304),,한국거래소.구증권선물거래소(19158),,,영동교입구(23169),종로5가.효제초등학교(01205),월드컵파크7단지(14271),돈암사거리.성신여대입구(08008),숙대입구역(03010),,,,공덕역1번출구(14180),북악중학교(08113),정릉길음시장(08121),서대문구청(13157),전쟁기념관(03184),성동구민종합체육센타(04180),,삼양동사거리입구(09174),서대문경찰서(13252),순천향대학병원.한남오거리(03165)
노량진역(20115),,고려대이공대.고대병원(08300),,여의도역(19155),,,청담역.경기고교(23170),종로5가.효제동(01204),상암고등학교(14291),미아리고개.미아리예술극장(08006),삼각지역(03008),,,,공덕오거리(14150),봉국사(08115),돈암동삼성아파트입구(08123),서대문자연사박물관입구(13155),용산구보건분소(03181),서울숲(04178),,성암국제무역고등학교(09172),서소문(02133) - 회차,신사역.푸른저축은행(22015)
동작구청.노량진초등학교앞(20190),,안암동주민센터(08298),,샛강역4번출구.여의도자이(19154),,,봉은사.삼성1파출소앞(23189),통신대(이화장)(01219),월드컵파크5단지(14289),돈암동삼성아파트입구(08123),KT용산지사(03006),,,,용마루고개.브라운스톤공덕아파트(14336),정릉2동주민센터(08117),돈암1동주민센터(08125),한성화교중고교(13153),효창공원앞역(03179) - 회차,뚝섬서울숲남문(04265),,삼양동사거리(09170),서울신문사(02137),논현역(22013)
장성교회(20192),,보문역(08296),,샛강역.앙카라공원(19151),,,무역센터(23199),혜화역.마로니에공원(01220),상암DMC홍보관.YTN(14287),길음동동부아파트(08174),신용산역(03004),,,,용마루고개.효창파크푸르지오아파트(03178),숭덕초교(08119),종암사거리(08127),연희3거리(13151),용마루고개(서울자동차고등학교)(03177),뚝섬서울숲(04223) - 회차,,강북청소년문화정보도서관입구(09165),종로1가(01188),지하철2호선강남역(22011)
장승배기역(20151),,성북구청.성북경찰서(08178),,진주아파트(19149),,,삼성역(23438),혜화역.동성중고(장면총리가옥)(01229),상암초등학교(14166),미아초교(08172),한강대교북단.LG유플러스(03002),,,,효창공원앞역(03180),정릉길음시장(08121),종암경찰서(08150),연희교차로(13149),용마루고개.신공덕삼성아파트(14151),뚝섬서울숲(04264),,삼양초등학교(09163),종로2가(01187),수협서초지점(22131)
